name,Abortion and Reproductive Health: Do you support the Supreme Court's decision to overturn Roe v. Wade?,Abortion: Do you generally support pro-choice or pro-life legislation?,"Budget, Spending, and Taxes: Do you support a decrease in income taxes in order to balance the budget?","Budget, Spending, and Taxes: Do you support a wealth tax in order to pay for public programs?","Budget, Spending, and Taxes: Do you support expanding federal funding to support social safety net programs such as Social Security and Medicare?",Budget: Do you support expanding federal funding to support entitlement programs such as Social Security and Medicare?,Budget: Do you support expanding federal funding to support social safety net programs such as Social Security and Medicare?,"Budget: In order to balance the budget, do you support an income tax increase on any tax bracket?","Budget: In order to balance the budget, do you support reducing defense spending?","Crime &amp; Public Safety: Do you support protecting government officials, including law enforcement officers, from personal liability in civil lawsuits concerning alleged misconduct?","Crime: Do you support the protection of government officials, including law enforcement officers, from personal liability in civil lawsuits concerning alleged misconduct?",Defense: Do you support increasing defense spending?,"Economy: Do you support federal spending as a means of promoting economic growth (e.g. grants, tax incentives)?",Economy: Do you support lowering corporate taxes as a means of promoting economic growth?,Economy: Do you support providing financial relief to businesses AND/OR corporations negatively impacted by the state of national emergency for COVID-19?,Economy: Do you support the federal government increasing funding for affordable housing programs?,"Economy: Do you support the federal government taking action, beyond those of the Federal Reserve, to alleviate inflation?",Education: Do you support requiring states to adopt federal education standards?,Education: Do you support the forgiveness of federal student loan debt?,Elections: Do you support requiring a government-issued identification in order to vote at the polls?,"Energy and Environment: Do you support government funding for the development of renewable energy (e.g. solar, wind, geo-thermal)?",Energy and Environment: Do you support the federal regulation of greenhouse gas emissions?,"Guns: Do you generally support gun-control legislation (e.g. red flag laws, boyfriend loopholes)?","Health Care: Do you support a government-run (e.g. single-payer) healthcare program, such as Medicare-for-All?",Health Care: Do you support expanding paid family AND/OR medical leave benefits (e.g. maternity leave)?,Health Care: Do you support lowering the cost of prescription drugs?,"Health Care: Do you support repealing the 2010 Affordable Care Act (""Obamacare"")?","Health Care: Do you support requiring businesses to provide paid medical leave during public health crises, such as COVID-19?",Health Care: Should the government be able to regulate the cost of prescription drugs?,Immigration: Do you support increasing security along the southern US border?,"Immigration: Do you support requiring immigrants to return to their country of origin before they are eligible for citizenship, regardless of their immigration status?",Immigration: Do you support requiring immigrants who are unlawfully present to return to their country of origin before they are eligible for citizenship?,Immigration: Do you support the construction of a wall along the Mexican border?,Marijuana: Do you support the legalization of marijuana for recreational purposes?,National Security: Do you support economic intervention as a means of resolving international conflicts?,National Security: Do you support increased American intervention in Middle Eastern conflicts beyond air support?,National Security: Do you support reducing military intervention in Middle East conflicts?,National Security: Do you support the U.S. providing increased offensive military aid to Ukraine?,National Security: Do you support the US providing increased offensive military aid to Ukraine?,National Security: Should the United States use military force in order to prevent governments hostile to the U.S. from possessing a nuclear weapon?,"National Security: Should the United States use military force to prevent governments hostile to the U.S. from possessing a weapon of mass destruction (for example: nuclear, biological, chemical)?","Taxes: Do you support raising taxes, on any income or on any entity, to promote economic growth?","Technology and Communication: Do you generally support increased regulations on social media companies (e.g. Tik Tok, Facebook, etc.)?","Trade: Do you generally support removing barriers to international trade (for example: tariffs, quotas, etc.)?","Campaign Finance: Do you support the regulation of indirect campaign contributions from corporations, unions, and individuals?",Energy & Environment: Do you support the federal regulation of greenhouse gas emissions?
Maria Cantwell,-1,0,-1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Thomas Carper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherrod Brown,-1,0,0,1,1,0,0,0,0,-1,0,1,1,0,0,1,1,0,1,-1,0,0,1,1,1,0,0,0,1,1,-1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
Robert Casey,-1,0,0,1,1,0,0,0,0,-1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Benjamin Cardin,0,-1,0,0,0,0,0,1,0,0,0,0,1,-1,0,0,0,1,0,2,0,0,1,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,1
Amy Klobuchar,-1,0,-1,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,-1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
Debbie Stabenow,0,-1,0,0,0,0,0,0,-1,0,0,0,1,-1,0,0,0,1,0,2,0,0,1,0,0,0,-1,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,1
Jon Tester,-1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,2,0,0,1,1,1,0,0,0,1,1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Bernard Sanders,-1,0,-1,1,1,0,0,0,0,-1,0,-1,1,0,0,1,1,0,1,-1,0,0,1,1,1,0,0,0,1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Sheldon Whitehouse,-1,0,-1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,0,0,1,1,1,0,0,0,1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Roger Wicker,1,0,1,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-1,2,0,0,-1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
John Barrasso,1,0,1,-1,-1,0,0,0,0,0,0,1,-1,0,0,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0
Richard Durbin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Cornyn,0,1,0,0,0,-1,0,-1,0,0,0,1,-1,1,1,0,0,-1,0,0,-1,-1,-1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,0
Susan Collins,0,1,0,0,0,0,0,-1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,-1,1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Mitch McConnell,0,1,0,0,0,-1,0,-1,0,0,0,1,1,1,1,0,0,-1,0,0,1,-1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,1,-1,0
Lindsey Graham,0,1,0,0,0,-1,0,-1,0,0,1,1,1,1,1,0,0,-1,0,0,1,-1,-1,0,0,0,1,1,0,0,0,-1,1,0,0,0,-1,0,0,0,0,0,0,1,0,0
Jeff Merkley,0,-1,0,0,0,1,0,1,0,0,-1,-1,1,-1,1,0,0,1,0,0,1,1,1,0,0,0,-1,1,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,1,1,0
John Reed,0,-1,0,0,0,1,0,1,0,0,0,0,1,-1,1,0,0,1,0,0,1,1,1,0,0,0,-1,1,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,1,1,0
James Risch,0,1,0,0,0,-1,0,-1,0,0,0,1,-1,1,1,0,0,-1,0,0,-1,-1,-1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Jeanne Shaheen,0,-1,0,0,0,1,0,1,0,0,0,0,1,-1,1,0,0,1,0,0,1,1,1,0,0,0,-1,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,0
Joe Manchin,0,1,0,0,0,0,0,-1,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,0,-1,0,0,0,0,0,0,0,0,1,-1
Mark Warner,0,-1,0,0,0,1,0,1,0,0,0,0,1,-1,1,0,0,1,0,0,1,1,1,0,0,0,-1,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,0
Christopher Coons,0,-1,0,0,0,1,0,1,0,0,-1,1,1,-1,1,0,0,1,0,0,1,1,1,0,0,0,-1,1,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,1,1,0
Kirsten Gillibrand,-1,0,-1,1,1,0,0,0,0,-1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,-1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
Michael Bennet,0,-1,0,0,0,0,1,0,0,0,-1,1,1,0,1,0,1,0,0,-1,1,1,1,1,0,1,0,0,0,1,0,-1,0,0,1,0,0,1,0,0,0,1,0,1,1,0
Robert Aderholt,1,0,1,-1,0,0,0,0,0,1,0,1,-1,0,0,0,-1,0,-1,1,0,0,-1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-1,0
Tammy Baldwin,-1,0,0,1,1,0,0,0,0,-1,0,1,1,0,0,1,1,0,1,-1,0,0,1,1,1,0,0,0,1,1,-1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
Gus Bilirakis,1,0,1,-1,-1,0,0,0,0,1,0,1,-1,0,0,-1,-1,0,-1,1,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,-1,0,0,0,1,0,-1,0
Sanford Bishop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Earl Blumenauer,0,-1,0,0,0,0,0,0,0,0,-1,-1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,0,0,1,0,0,1,0,0,0,0,0,1,1,0
John Boozman,0,1,0,0,0,0,0,0,0,0,1,1,-1,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Richard Blumenthal,0,-1,0,0,0,0,1,0,0,0,-1,1,1,0,1,0,1,0,1,-1,1,1,1,1,0,1,0,0,0,0,0,-1,0,0,1,0,0,1,0,0,0,1,0,1,1,0
Marsha Blackburn,1,0,1,-1,0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,-1,1,0,0,-1,0,0,0,0,0,-1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-1,0
Vern Buchanan,1,0,1,-1,0,0,0,0,0,-1,0,1,-1,0,0,0,-1,0,-1,1,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,0
Larry Bucshon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ken Calvert,1,0,1,-1,0,0,0,0,0,0,0,1,-1,0,0,1,-1,0,-1,0,0,0,-1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Michael Burgess,0,1,0,0,0,0,-1,0,0,0,0,1,-1,0,1,0,-1,0,-1,1,0,-1,-1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,-1,0,1,-1,0
Shelley Capito,0,1,0,0,0,0,0,-1,0,0,0,1,1,1,1,0,0,-1,0,0,-1,-1,-1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
AndrÃ© Carson,-1,0,-1,1,1,0,0,0,0,-1,0,1,1,0,0,1,1,0,1,-1,0,0,1,1,1,0,0,0,1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
Judy Chu,-1,0,0,1,1,0,0,0,0,-1,0,-1,1,0,0,1,1,0,1,-1,0,0,1,1,1,0,0,0,1,0,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Bill Cassidy,0,1,0,0,0,-1,0,-1,0,0,0,1,1,1,1,0,0,-1,0,0,0,-1,-1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
John Carter,1,0,1,-1,0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,-1,1,0,0,-1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,0
Yvette Clarke,-1,0,-1,1,1,0,0,0,0,-1,0,-1,1,0,0,1,1,0,1,-1,0,0,1,1,1,0,0,0,1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
Kathy Castor,-1,0,-1,0,1,0,0,0,0,-1,0,1,1,0,0,1,1,0,1,-1,0,0,1,1,1,0,0,0,1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
Emanuel Cleaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Clyburn,-1,0,0,1,1,0,0,0,0,-1,0,1,1,0,0,1,1,0,1,-1,0,0,1,1,1,0,0,0,1,0,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Tom Cole,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,-1,-1,0,0,-1,0,0,0,0,0,-1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,-1,0
Steve Cohen,-1,0,0,1,1,0,0,0,0,-1,0,-1,1,0,0,1,1,0,1,-1,0,0,1,1,1,0,0,0,1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
Gerald Connolly,-1,0,0,0,1,0,0,0,0,-1,0,1,1,0,0,1,1,0,1,-1,0,0,1,0,0,0,0,0,1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Michael Crapo,0,1,0,0,0,0,0,0,0,0,0,1,-1,0,1,0,-1,0,0,1,-1,-1,-1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,-1,0,1,0,0
Joe Courtney,-1,0,0,1,1,0,0,0,0,-1,0,1,1,0,0,1,1,0,1,-1,0,0,1,1,1,0,0,0,1,0,-1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
Eric Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jim Costa,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Henry Cuellar,0,0,0,0,1,0,0,0,0,-1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,-1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Danny Davis,-1,0,-1,0,1,0,0,0,0,-1,0,-1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Diana DeGette,-1,0,-1,0,1,0,0,0,0,1,0,-1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Rosa DeLauro,-1,0,0,1,1,0,0,0,0,-1,0,1,1,0,0,1,1,0,1,-1,0,0,1,1,1,0,0,0,1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
Mario Diaz-Balart,1,0,1,-1,0,0,0,0,0,1,0,1,-1,0,0,0,-1,0,-1,1,0,0,-1,0,0,0,0,0,-1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,-1,0
Scott DesJarlais,1,0,1,-1,-1,0,0,0,0,1,0,1,-1,0,0,0,-1,0,-1,1,0,0,-1,0,0,0,0,0,-1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-1,0
Lloyd Doggett,-1,0,-1,1,1,0,0,0,0,-1,0,-1,1,0,0,1,1,0,1,-1,0,0,1,1,1,0,0,0,1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
Jeff Duncan,0,1,0,0,0,0,-1,0,0,0,1,0,-1,0,1,0,-1,0,0,1,-1,-1,-1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,-1,0,1,0,0
Anna Eshoo,0,-1,0,0,0,0,1,0,0,0,-1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,-1,0,0,1,0,0,1,0,0,0,-1,0,1,1,0
Charles Fleischmann,1,0,1,-1,-1,0,0,0,0,-1,0,1,-1,0,0,0,-1,0,-1,1,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Virginia Foxx,1,0,1,-1,0,0,0,0,0,1,0,1,-1,0,0,1,-1,0,-1,2,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
John Garamendi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Gosar,1,0,1,-1,0,0,0,0,0,1,0,1,-1,0,0,0,-1,0,-1,1,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,-1,0,0,0,1,0,-1,0
Kay Granger,0,1,0,0,0,0,-1,0,0,0,0,1,-1,0,1,0,-1,0,0,0,-1,-1,-1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,-1,0,1,-1,0
Charles Grassley,0,1,0,0,0,0,-1,0,0,0,0,0,-1,0,1,0,-1,0,-1,1,0,0,-1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,-1,0,1,-1,0
Sam Graves,1,0,1,-1,0,0,0,0,0,1,0,1,-1,0,0,0,-1,0,0,0,0,0,-1,1,1,0,0,0,-1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-1,0
Al Green,-1,0,-1,0,1,0,0,0,0,-1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
